Margherita,"Tomato, Fresh mozzarella, EVO, Basil ",make pizza,1
Americano,"Tomato, Pepperoni, Whole Milk Mozzarella, Oregano, Calabrian Hot honey ",make pizza,1
Fennel Susage,"House made Sweet Fennel Sausage, Panna, Red Onion, Whole Milk Mozzarella, Fennel 
Pollen",make pizza,1
Pizza con patate,"Gold Potato, Sage Panna, Whole Milk Mozz, Garlic Confit , Shallot, Sage, Toasted Peppercorn, Chive, Gruyère ",make pizza,1
Vegan Zaza,"Cashew cream, garlic confit, onions, lemon and herbs ",make pizza,1
Prosciutto pizza,"Red Onion, Balsamic Vinegar, Dijon, Pistachio, Whole Milk Mozzarella, San Danielle Proscuitto ",make pizza,1
